0, pos(meters)  ,       speed(mps)      ,      accel(mps2)      ,       jerk(mps3)      ,       snap(mps4)      ,     time(seconds)
3841, -0.002804 ,       0.003116        ,       0.037390        ,       0.000000        ,       -9.347490       ,       214.209000
3842, -0.002493 ,       0.005948        ,       0.063141        ,       0.234097        ,       -9.347490       ,       214.220000
3843, -0.002181 ,       0.008781        ,       0.088891        ,       0.468194        ,       -7.842502       ,       214.231000
3844, -0.001869 ,       0.011614        ,       0.114642        ,       0.702291        ,       -5.714348       ,       214.242000
3845, -0.001558 ,       0.014446        ,       0.140393        ,       0.936388        ,       -3.586194       ,       214.253000
3846, -0.001246 ,       0.017279        ,       0.159912        ,       1.113833        ,       -1.973054       ,       214.264000
3847, -0.000935 ,       0.020111        ,       0.179431        ,       1.291279        ,       0.263253        ,       214.275000
3848, -0.000623 ,       0.022944        ,       0.198950        ,       1.468724        ,       3.745891        ,       214.286000
3849, -0.000312 ,       0.025776        ,       0.218469        ,       1.646169        ,       7.228529        ,       214.297000
3850, 0.000062  ,       0.028609        ,       0.000000        ,       -2.356466       ,       0.000000        ,       214.817000
3851, 0.000249  ,       0.027363        ,       -0.012463       ,       -2.356466       ,       0.000000        ,       214.827000
3852, 0.000499  ,       0.027023        ,       -0.015862       ,       -2.328141       ,       0.283257        ,       214.837000
3853, 0.000872  ,       0.027929        ,       -0.006798       ,       -1.979992       ,       3.764746        ,       214.847000
3854, 0.001371  ,       0.030082        ,       0.014729        ,       -1.507210       ,       8.492568        ,       214.857000
3855, 0.002056  ,       0.034104        ,       0.054952        ,       -0.847478       ,       15.089887       ,       214.867000
3856, 0.002929  ,       0.039996        ,       0.113869        ,       -0.000796       ,       23.556704       ,       214.877000
3857, 0.003988  ,       0.047757        ,       0.191482        ,       1.032836        ,       33.893019       ,       214.887000
3858, 0.005297  ,       0.058011        ,       0.294021        ,       2.315733        ,       46.721997       ,       214.897000
3859, 0.006855  ,       0.070758        ,       0.421487        ,       3.847898        ,       62.043640       ,       214.907000
3860, 0.008662  ,       0.085997        ,       0.573879        ,       5.629328        ,       79.857946       ,       214.917000
3861, 0.010656  ,       0.104069        ,       0.767061        ,       7.795240        ,       101.517061      ,       214.927000
3862, 0.012962  ,       0.124633        ,       0.976105        ,       9.919669        ,       122.478098      ,       214.937000
3863, 0.015579  ,       0.147067        ,       1.191380        ,       11.981782       ,       139.617737      ,       214.947000
3864, 0.018446  ,       0.170747        ,       1.406656        ,       13.919262       ,       154.264712      ,       214.957000
3865, 0.021499  ,       0.194428        ,       1.603236        ,       15.482842       ,       163.303194      ,       214.967000
3866, 0.024802  ,       0.218731        ,       1.787353        ,       16.734839       ,       167.356348      ,       214.977000
3867, 0.028354  ,       0.243658        ,       1.959007        ,       17.675253       ,       166.424174      ,       214.987000
3868, 0.032093  ,       0.267961        ,       2.099503        ,       18.054818       ,       157.390843      ,       214.997000
3869, 0.036144  ,       0.292888        ,       2.221303        ,       17.998166       ,       141.502685      ,       215.007000
3870, 0.040443  ,       0.317815        ,       2.318177        ,       17.442982       ,       118.136537      ,       215.017000
3871, 0.044930  ,       0.342741        ,       2.386726        ,       16.196650       ,       84.014103       ,       215.027000
3872, 0.049542  ,       0.365798        ,       2.411652        ,       14.355478       ,       44.358087       ,       215.037000
3873, 0.054215  ,       0.386363        ,       2.392957        ,       12.015773       ,       0.339909        ,       215.047000
3874, 0.059014  ,       0.405681        ,       2.349336        ,       9.426802        ,       -44.924601      ,       215.057000
3875, 0.063999  ,       0.424999        ,       2.305714        ,       7.024780        ,       -84.580618      ,       215.067000
3876, 0.069171  ,       0.443694        ,       2.249629        ,       4.622758        ,       -121.120804     ,       215.077000
3877, 0.074531  ,       0.461766        ,       2.181081        ,       2.220737        ,       -154.545160     ,       215.087000
3878, 0.080077  ,       0.479838        ,       2.118764        ,       0.192615        ,       -178.622027     ,       215.097000
3879, 0.085685  ,       0.495417        ,       2.025289        ,       -1.960140       ,       -199.583065     ,       215.107000
3880, 0.091356  ,       0.509127        ,       1.913120        ,       -4.050579       ,       -214.935608     ,       215.117000
