0, pos(meters)  ,       speed(mps)      ,      accel(mps2)      ,       jerk(mps3)      ,       snap(mps4)      ,     time(seconds)
2575, -0.006169 ,       0.006855        ,       -0.024927       ,       0.000000        ,       5.608494        ,       117.684000
2576, -0.005484 ,       0.013710        ,       0.043622        ,       0.685483        ,       5.608494        ,       117.694000
2577, -0.004798 ,       0.020564        ,       0.112170        ,       1.370965        ,       13.086485       ,       117.704000
2578, -0.004113 ,       0.027419        ,       0.180718        ,       2.056448        ,       19.941311       ,       117.714000
2579, -0.003427 ,       0.034274        ,       0.249266        ,       2.741930        ,       26.796137       ,       117.724000
2580, -0.002742 ,       0.041129        ,       0.317815        ,       3.427413        ,       33.650962       ,       117.734000
2581, -0.002056 ,       0.047984        ,       0.386363        ,       4.112895        ,       40.505788       ,       117.744000
2582, -0.001371 ,       0.054839        ,       0.461143        ,       4.860695        ,       47.983780       ,       117.754000
2583, -0.000685 ,       0.061693        ,       0.535923        ,       5.608494        ,       54.838605       ,       117.764000
2584, 0.000062  ,       0.067925        ,       0.000000        ,       -5.931407       ,       0.000000        ,       118.210000
2585, 0.000187  ,       0.062317        ,       -0.056085       ,       -5.931407       ,       0.000000        ,       118.220000
2586, 0.000312  ,       0.056708        ,       -0.112170       ,       -6.548908       ,       -6.175008       ,       118.230000
2587, 0.000561  ,       0.052346        ,       -0.155791       ,       -6.361958       ,       -4.305510       ,       118.240000
2588, 0.000872  ,       0.048607        ,       -0.193181       ,       -6.050375       ,       -1.189680       ,       118.250000
2589, 0.001184  ,       0.044868        ,       -0.230571       ,       -5.738792       ,       1.926149        ,       118.260000
2590, 0.001807  ,       0.044245        ,       -0.236803       ,       -5.115626       ,       8.157809        ,       118.270000
2591, 0.002617  ,       0.045491        ,       -0.224340       ,       -4.305510       ,       16.258967       ,       118.280000
2592, 0.003427  ,       0.046737        ,       -0.211876       ,       -3.495395       ,       24.360124       ,       118.290000
2593, 0.004674  ,       0.052346        ,       -0.155791       ,       -2.249063       ,       36.823444       ,       118.300000
2594, 0.005858  ,       0.057954        ,       -0.099707       ,       -1.002731       ,       49.286763       ,       118.310000
2595, 0.007540  ,       0.073534        ,       0.112170        ,       1.682548        ,       76.139551       ,       118.320000
2596, 0.009534  ,       0.092229        ,       0.355205        ,       4.673745        ,       112.226526      ,       118.330000
2597, 0.011778  ,       0.112170        ,       0.598239        ,       7.540308        ,       139.022663      ,       118.340000
2598, 0.014271  ,       0.133981        ,       0.853737        ,       10.469188       ,       165.195633      ,       118.350000
2599, 0.016763  ,       0.155791        ,       1.109235        ,       13.398068       ,       191.368604      ,       118.360000
2600, 0.019692  ,       0.178849        ,       1.346038        ,       15.828416       ,       209.440417      ,       118.370000
2601, 0.022434  ,       0.198167        ,       1.526757        ,       17.510964       ,       218.164741      ,       118.380000
2602, 0.025986  ,       0.225586        ,       1.788486        ,       20.003628       ,       234.990222      ,       118.390000
2603, 0.029102  ,       0.244281        ,       1.919351        ,       20.751427       ,       230.004894      ,       118.400000
2604, 0.032218  ,       0.263599        ,       2.056448        ,       21.561543       ,       225.642732      ,       118.410000
2605, 0.035645  ,       0.281048        ,       2.075143        ,       19.629728       ,       179.471799      ,       118.420000
2606, 0.039259  ,       0.297250        ,       2.050216        ,       16.950114       ,       122.763696      ,       118.430000
